2022-12-11T20:37:08.942Z,376913a0-7993-11ed-8d53-d7cd1025126a,101,SNR,390f70a0-7993-11ed-8d53-d7cd1025126a,snr,db,5
2022-12-11T20:37:08.942Z,376913a0-7993-11ed-8d53-d7cd1025126a,100,RSSI,390362b0-7993-11ed-8d53-d7cd1025126a,rssi,dbm,-35
2022-12-11T20:37:08.942Z,376913a0-7993-11ed-8d53-d7cd1025126a,1,Temperature (1),392087a0-7993-11ed-8d53-d7cd1025126a,temp,c,27.200000762939453
"2022-12-11T20:37:08.942Z,376913a0-7993-11ed-8d53-d7cd1025126a,4,GPS (4),3962c0c0-7993-11ed-8d53-d7cd1025126a,gps,m,""60.4872,15.4095"""
2022-12-11T20:37:08.942Z,376913a0-7993-11ed-8d53-d7cd1025126a,2,Humidity (2),393743f0-7993-11ed-8d53-d7cd1025126a,rel_hum,p,64.5
2022-12-11T20:37:08.942Z,376913a0-7993-11ed-8d53-d7cd1025126a,3,Analog Output (3),39535770-7993-11ed-8d53-d7cd1025126a,analog_actuator,null,0.4000000059604645
2022-12-11T20:35:01.047Z,376913a0-7993-11ed-8d53-d7cd1025126a,3,Analog Output (3),39535770-7993-11ed-8d53-d7cd1025126a,,,
2022-12-11T20:34:44.349Z,376913a0-7993-11ed-8d53-d7cd1025126a,100,RSSI,390362b0-7993-11ed-8d53-d7cd1025126a,rssi,dbm,-35
2022-12-11T20:34:44.349Z,376913a0-7993-11ed-8d53-d7cd1025126a,101,SNR,390f70a0-7993-11ed-8d53-d7cd1025126a,snr,db,5
2022-12-11T20:34:44.349Z,376913a0-7993-11ed-8d53-d7cd1025126a,1,Temperature (1),392087a0-7993-11ed-8d53-d7cd1025126a,temp,c,27.200000762939453
"2022-12-11T20:34:44.349Z,376913a0-7993-11ed-8d53-d7cd1025126a,4,GPS (4),3962c0c0-7993-11ed-8d53-d7cd1025126a,gps,m,""60.4872,15.4095"""
2022-12-11T20:34:44.349Z,376913a0-7993-11ed-8d53-d7cd1025126a,2,Humidity (2),393743f0-7993-11ed-8d53-d7cd1025126a,rel_hum,p,64.5
2022-12-11T20:34:44.349Z,376913a0-7993-11ed-8d53-d7cd1025126a,3,Analog Output (3),39535770-7993-11ed-8d53-d7cd1025126a,analog_actuator,null,0.4000000059604645
